Location,percentage_of_mormon_residents,pct_mormon
Utah,67.70%,67.7
Idaho,26.42%,26.419999999999998
Wyoming,11.53%,11.53
Nevada,6.21%,6.21
Arizona,6.10%,6.1
Hawaii,5.17%,5.17
Montana,4.81%,4.81
Alaska,4.56%,4.56
Washington,3.94%,3.94
Oregon,3.76%,3.7600000000000002
New Mexico,3.35%,3.3499999999999996
Colorado,2.74%,2.74
California,1.97%,1.97
North Dakota,1.49%,1.49
Nebraska,1.30%,1.3
Kansas,1.29%,1.29
Texas,1.25%,1.25
Oklahoma,1.21%,1.21
South Dakota,1.21%,1.21
Missouri,1.16%,1.1600000000000001
Virginia,1.13%,1.1300000000000001
Arkansas,1.03%,1.03
West Virginia,0.93%,0.93
Iowa,0.90%,0.9
North Carolina,0.84%,0.8400000000000001
Georgia,0.82%,0.8200000000000001
Maine,0.82%,0.8200000000000001
South Carolina,0.81%,0.81
Kentucky,0.79%,0.7899999999999999
Alabama,0.77%,0.77
Florida,0.75%,0.75
Tennessee,0.75%,0.75
Mississippi,0.73%,0.73
Vermont,0.73%,0.73
Maryland,0.72%,0.72
Indiana,0.67%,0.6699999999999999
New Hampshire,0.65%,0.65
Louisiana,0.64%,0.64
Minnesota,0.59%,0.59
Delaware,0.57%,0.5700000000000001
Ohio,0.53%,0.53
Wisconsin,0.46%,0.46
Illinois,0.45%,0.45
Michigan,0.45%,0.45
Connecticut,0.44%,0.44
New York,0.41%,0.41000000000000003
District of Columbia,0.40%,0.4
Massachusetts,0.40%,0.4
Pennsylvania,0.40%,0.4
Rhode Island,0.39%,0.39
New Jersey,0.37%,0.37
